,Search String,Title,Heading,Link,Date,Search Engine
23,IRFC and Stocks,"Multi bagger railway stocks IRCON, RVNL, IRFC, RailTel share prices rebound up to 13% | Mint",mint,/url?q=https://www.livemint.com/market/stock-market-news/multi-bagger-railway-stocks-ircon-rvnl-irfc-railtel-share-prices-rebound-up-to-13-11710408891064.html&sa=U&ved=2ahUKEwie6MGh8LaFAxXfSGcHHc9UCUc4FBDF9AF6BAgFEAI&usg=AOvVaw3R_ewfhMPyEclISwhFPJ1J,2024-04-10 10:33:46.933368,Google
24,IRFC and Stocks,"Hot stocks on March 26: YES Bank, Mankind Pharma, IRFC, Vedanta and more",BUSINESS TODAY,/url?q=https://www.businesstoday.in/visualstories/stock/hot-stocks-on-march-26-yes-bank-mankind-pharma-irfc-vedanta-and-more-115830-26-03-2024&sa=U&ved=2ahUKEwie6MGh8LaFAxXfSGcHHc9UCUc4FBDF9AF6BAgCEAI&usg=AOvVaw0mUfz8_ubwrv2RIXnB3RVp,2024-04-10 10:35:46.933381,Google
25,IRFC and Stocks,"RVNL, IRFC Among Top Railway Stocks Analysts Are Bullish On",Business Today,/url?q=https://www.businesstoday.in/bt-tv/market-today/video/rvnl-irfc-among-top-railway-stocks-analysts-are-bullish-on-417340-2024-02-13&sa=U&ved=2ahUKEwie6MGh8LaFAxXfSGcHHc9UCUc4FBDF9AF6BAgBEAI&usg=AOvVaw0y54l4M2tINcSJwZ1yyjOL,2024-04-10 10:36:46.933395,Google
26,IRFC and Stocks,IRFC shares jump 6% to hit one-year high; time to book profit or more upside possible?,Business Today,/url?q=https://www.businesstoday.in/markets/company-stock/story/irfc-shares-jump-5-to-hit-one-year-high-time-to-book-profit-or-more-upside-possible-412821-2024-01-11&sa=U&ved=2ahUKEwie6MGh8LaFAxXfSGcHHc9UCUc4FBDF9AF6BAgEEAI&usg=AOvVaw33VV6gQVUaywTAl6Wzbp9p,2024-04-10 10:35:46.933409,Google
27,IRFC and Stocks,"IRCON, IRFC, RVNL, IRCTC: Railway stocks rally ahead of Budget. Key expectations",Business Today,/url?q=https://www.businesstoday.in/markets/trending-stocks/story/irfc-rvnl-irctc-railway-stocks-rally-ahead-of-budget-key-expectations-414248-2024-01-20&sa=U&ved=2ahUKEwie6MGh8LaFAxXfSGcHHc9UCUc4FBDF9AF6BAgDEAI&usg=AOvVaw1Y3JycdI8SHX91jt3_Mpyh,2024-04-10 10:35:46.933422,Google
28,IRFC and Stocks,"IRFC shares rose 7% intraday, overbought on charts; here are short-term targets",Business Today,/url?q=https://www.businesstoday.in/markets/company-stock/story/irfc-shares-rise-target-price-buy-sell-or-hold-414727-2024-01-24&sa=U&ved=2ahUKEwie6MGh8LaFAxXfSGcHHc9UCUc4FBDF9AF6BAgAEAI&usg=AOvVaw3fllR1By19JElqfJ7PHKH5,2024-04-10 10:35:46.933435,Google
29,IRFC and Stocks,"Railway stocks IRFC, RVNL tank up to 5% post Budget! Is the rally over?",Business Today,/url?q=https://www.businesstoday.in/markets/stocks/story/railway-stocks-irfc-rvnl-tank-up-to-5-post-budget-is-the-rally-over-416254-2024-02-05&sa=U&ved=2ahUKEwie6MGh8LaFAxXfSGcHHc9UCUc4FBDF9AF6BAgHEAI&usg=AOvVaw1_lnyEJp9sK1fqnCrQtcwo,2024-04-10 10:35:46.933449,Google
30,IRFC and Stocks,IRFC shares rally 19% to hit fresh one-year high; analysts see more upside,Business Today,/url?q=https://www.businesstoday.in/markets/company-stock/story/irfc-shares-rally-19-to-hit-fresh-one-year-high-analysts-see-more-upside-413292-2024-01-15&sa=U&ved=2ahUKEwijpOWh8LaFAxWHXGwGHQy9DX44HhDF9AF6BAgGEAI&usg=AOvVaw1R-5DQz2UImbOT5Vxt_tiv,2024-04-10 10:35:46.933463,Google
31,IRFC and Stocks,IRFC share price: Will bull trend continue in multibagger stock after Q3 results 2024? | Mint,mint,/url?q=https://www.livemint.com/market/stock-market-news/irfc-share-price-will-bull-trend-continue-in-multibagger-stock-after-q3-results-2024-11707544578635.html&sa=U&ved=2ahUKEwijpOWh8LaFAxWHXGwGHQy9DX44HhDF9AF6BAgJEAI&usg=AOvVaw2CgvKD2wxuw4MA2rxNRsr5,2024-04-10 10:36:46.933477,Google
32,IRFC and Stocks,IRFC shares down 36% from one-year high level; what's next for this multibagger rail PSU stock?,Business Today,/url?q=https://www.businesstoday.in/markets/company-stock/story/irfc-shares-down-36-from-one-year-high-level-whats-next-for-this-multibagger-rail-psu-stock-421297-2024-03-13&sa=U&ved=2ahUKEwijpOWh8LaFAxWHXGwGHQy9DX44HhDF9AF6BAgCEAI&usg=AOvVaw1LNuHZC85L6eQIaNb4Lo1l,2024-04-10 10:33:46.933490,Google
